日付,種類,金額,カテゴリ,メモ
2025/05/17,収入,5,その他,ポイント、残高の獲得 / ローソン / PayPayポイント / - / -
2025/05/17,支出,1160,食費,支払い / ローソン - シタディーンセントラル新宿 / PayPay残高 / - / -
2025/05/18,支出,1226,その他,支払い / 吉野家 - 吉野家浅草橋駅東口 / PayPay残高 / - / -
2025/05/18,収入,6,その他,ポイント、残高の獲得 / 吉野家 / PayPayポイント / - / -
2025/05/18,支出,12430,その他,支払い / ルミネエスト - ルミネエスト店 / PayPay残高 / - / -
2025/05/18,収入,25,その他,ポイント、残高の獲得 / お好み焼き・鉄板焼き　しらいわ / PayPayポイント / - / -
2025/05/18,支出,5038,その他,支払い / お好み焼き・鉄板焼き　しらいわ - 浅草店 / PayPay残高 / - / -
2025/05/19,収入,18,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/05/19,支出,3791,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/05/19,収入,5,その他,ポイント、残高の獲得 / アントレスト / PayPayポイント / - / -
2025/05/19,支出,1050,その他,支払い / アントレスト - 魚串神田店 / PayPay残高 / - / -
2025/05/19,支出,1130,その他,支払い / スターバックス - スターバックスコーヒー神田駅南口店 / PayPay残高 / - / -
2025/05/20,支出,896,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/05/20,収入,4,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/05/20,支出,763,その他,支払い / ファミリーマート - 神田駅北 / PayPay残高 / - / -
2025/05/20,収入,3,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/05/20,収入,6,その他,ポイント、残高の獲得 / ｋｍグループ　織田タクシー / PayPayポイント / - / -
2025/05/20,支出,1200,交通費,支払い / ｋｍグループ　織田タクシー - ｋｍグループ　織田タクシー / PayPay残高 / - / -
2025/05/21,支出,998,その他,支払い / ファミリーマート - 台東柳橋一丁目 / PayPay残高 / - / -
2025/05/21,収入,4,その他,ポイント、残高の獲得 / ファミリーマート / PayPayポイント / - / -
2025/05/22,収入,9,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/05/22,支出,1933,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/05/23,支出,7562,その他,ガス　ｵｵｻｶｶﾞｽ(ｶ)
2025/05/24,収入,14,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/05/24,支出,2959,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/05/24,収入,11,その他,ポイント、残高の獲得 / Uber Eats / PayPayポイント / - / -
2025/05/24,支出,2376,その他,支払い / Uber Eats / PayPay残高 / - / -
2025/05/25,収入,7,その他,ポイント、残高の獲得 / arde新大阪 / PayPayポイント / - / -
2025/05/25,支出,1485,その他,支払い / arde新大阪 - にぎわい弁当 / PayPay残高 / - / -
2025/05/27,支出,17283,その他,返済金　ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/05/27,支出,95310,その他,振替　ｴﾎﾟｽｶ-ﾄﾞ
2025/06/01,支出,1000,その他,期間限定ポイントの期限切れ / - / PayPayポイント / - / -
2025/06/02,支出,6000,その他,送金　IB ｲﾊﾗ ﾀﾞｲｽｹ
2025/06/04,支出,11000,通信費,振替　AU PAY ｶ-ﾄﾞ
2025/06/10,支出,1606,その他,水道　ｽｲﾄﾞｳ05ﾂｷﾌﾞﾝ
2025/06/10,支出,66443,その他,振替　Dｶ-ﾄﾞ
2025/06/16,収入,5,その他,ポイント、残高の獲得 / らーめんにんにくや　堀之内店 / PayPayポイント / - / -
2025/06/16,支出,1000,その他,支払い / らーめんにんにくや　堀之内店 - らーめんにんにくや　堀之内店 / PayPay残高 / - / -
2025/06/16,支出,1000,その他,支払い / らーめんにんにくや　堀之内店 - らーめんにんにくや　堀之内店 / PayPay残高 / - / -
